area,country,pig_price 标准差,纬度(生成),经度(生成)
海南,中国,10.06363328,19.1638,109.6305
广西,中国,9.441214968,23.9155,108.9991
广东,中国,9.436941568,22.8962,112.4196
江西,中国,9.324791197,27.3189,115.4924
福建,中国,8.501564309,25.9843,118.035
内蒙古,中国,8.484376073,45.9377,119.0298
湖北,中国,8.466439308,31.1761,112.8612
山西,中国,8.441189749,37.7257,112.3455
辽宁,中国,8.409025475,41.1486,122.451
江苏,中国,8.370000424,32.9714,119.5828
吉林,中国,8.295555496,43.6442,126.1692
河南,中国,8.255945435,33.9126,113.0925
四川,中国,8.252971372,30.2696,102.2976
安徽,中国,8.21368121,32.061,117.1516
湖南,中国,8.152839127,27.4176,111.3884
上海,中国,8.149196361,31.1015,121.3701
浙江,中国,8.037888481,29.1938,119.7808
河北,中国,7.991057301,39.4094,115.652
黑龙江,中国,7.937451982,48.7465,127.6013
重庆,中国,7.818047836,30.2037,107.8789
山东,中国,7.741110699,36.3464,118.0429
天津,中国,7.672730961,39.4079,117.3391
陕西,中国,7.590484433,35.7434,109.5496
北京,中国,7.464784797,40.2554,116.6397
新疆,中国,7.124105746,42.1974,88.1541
贵州,中国,6.502864209,26.9463,106.6586
甘肃,中国,6.406419307,37.8668,102.2829
云南,中国,6.290099574,25.2644,101.3868
